Country Name,Country Code,Region,IncomeGroup,PPP Ratio (2024),Std Family Urban (Annual),Std Family Rural (Annual),Typical Fam Urban (Annual),Typical Fam Rural (Annual),Single Indiv Urban (Annual),Single Indiv Rural (Annual),Single Parent Urban (Annual),Single Parent Rural (Annual),Source,Median(LW),U/R Gap%(std fam),U/R Gap%(single parent),U/R Gap%(single individual),U/R Gap%(Typical Fam),(Sing parent burden% vs std fam(U))
Grenada,GRD,Latin America & Caribbean,Upper middle income,0.58,17531,9898,16048,8910,13366,6857,27517,14533,PPP Model,13950.0,77.12,89.34,94.92,80.11,56.96
Guam,GUM,East Asia & Pacific,High income,0.0,22128,12429,19753,10854,17500,8975,35020,18450,Income Avg,17975.0,78.04,89.81,94.99,81.99,58.26
Guatemala,GTM,Latin America & Caribbean,Upper middle income,0.428,12867,7226,12099,6742,9387,4800,20076,10492,PPP Model,9940.0,78.07,91.35,95.56,79.46,56.03
Guinea,GIN,Sub-Saharan Africa,Lower middle income,0.371,11134,6237,10602,5918,7957,4062,17323,9009,PPP Model,8483.0,78.52,92.29,95.89,79.15,55.59
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,0.323,9665,5401,9317,5209,6769,3451,14997,7762,PPP Model,7266.0,78.95,93.21,96.15,78.86,55.17
Guyana,GUY,Latin America & Caribbean,High income,0.37,11102,6219,10574,5902,7931,4049,17273,8982,PPP Model,8456.0,78.52,92.31,95.88,79.16,55.58
Haiti,HTI,Latin America & Caribbean,Lower middle income,0.671,20327,11506,18369,10181,15826,8132,31995,16983,PPP Model,16404.0,76.66,88.39,94.61,80.42,57.4
Honduras,HND,Latin America & Caribbean,Lower middle income,0.458,13776,7746,12877,7170,10148,5193,21522,11274,PPP Model,10711.0,77.85,90.9,95.42,79.6,56.23
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,0.719,37015,16492,31921,13459,27163,12544,61858,25793,Numbeo,26478.0,124.44,139.82,116.54,137.17,67.12
Hungary,HUN,Europe & Central Asia,High income,0.48,16248,9836,14419,8590,12418,6711,25132,14312,Numbeo,13365.0,65.19,75.6,85.04,67.86,54.68
Iceland,ISL,Europe & Central Asia,High income,1.028,31363,17887,27296,15050,25975,13408,49780,26816,PPP Model,26396.0,75.34,85.64,93.73,81.37,58.72
India,IND,South Asia,Lower middle income,0.241,4917,2840,4602,2655,3000,1603,7599,4077,Numbeo,3538.0,73.13,86.39,87.15,73.33,54.55
Indonesia,IDN,East Asia & Pacific,Upper middle income,0.299,9292,5019,8769,4764,5486,2782,14519,7203,Numbeo,6344.0,85.14,101.57,97.2,84.07,56.25
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,0.261,6614,3431,6272,3203,4333,2143,10518,5024,Numbeo,4678.0,92.77,109.36,102.19,95.82,59.03
Iraq,IRQ,Middle East & North Africa,Upper middle income,0.42,7158,4257,8860,5448,5172,2620,11022,6143,Numbeo,5796.0,68.15,79.42,97.4,62.63,53.98
Ireland,IRL,Europe & Central Asia,High income,0.802,31868,17406,28832,15518,28081,14389,51655,26746,Numbeo,27414.0,83.09,93.13,95.16,85.8,62.09
Isle of Man,IMN,Europe & Central Asia,High income,0.0,22128,12429,19753,10854,17500,8975,35020,18450,Income Avg,17975.0,78.04,89.81,94.99,81.99,58.26
Israel,ISR,Middle East & North Africa,High income,0.947,27211,15976,27665,16610,22726,11745,42877,23780,Numbeo,23253.0,70.32,80.31,93.5,66.56,57.57
Italy,ITA,Europe & Central Asia,High income,0.649,23578,13773,20644,11693,17986,9602,36610,19995,Numbeo,18990.0,71.19,83.1,87.32,76.55,55.27
Jamaica,JAM,Latin America & Caribbean,Upper middle income,0.602,18190,10277,16598,9211,13941,7155,28571,15109,PPP Model,14525.0,77.0,89.1,94.84,80.2,57.07
Japan,JPN,East Asia & Pacific,High income,0.624,18647,10546,15565,8473,11702,6432,28504,14831,Numbeo,13266.0,76.82,92.19,81.93,83.7,52.86
Jordan,JOR,Middle East & North Africa,Lower middle income,0.427,8293,4993,9717,5959,6052,3175,12655,7134,Numbeo,6593.0,66.09,77.39,90.61,63.06,52.6
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,0.346,10563,5917,11089,6432,8186,3923,16618,8672,Numbeo,8429.0,78.52,91.63,108.67,72.4,57.32
Kenya,KEN,Sub-Saharan Africa,Lower middle income,0.321,9624,4731,10302,5365,5201,2679,15102,6705,Numbeo,6035.0,103.42,125.23,94.14,92.02,56.92
Kiribati,KIR,East Asia & Pacific,Lower middle income,0.618,18702,10571,17024,9444,14390,7388,29391,15557,PPP Model,14974.0,76.92,88.92,94.78,80.26,57.15
"Korea, Dem. People's Rep.",PRK,East Asia & Pacific,Low income,0.0,9977,5581,9573,5349,7047,3595,15499,8037,Income Avg,7542.0,78.77,92.85,96.02,78.97,55.35
"Korea, Rep.",KOR,East Asia & Pacific,High income,0.594,21645,12294,17054,9054,13202,7285,33019,17222,Numbeo,15128.0,76.06,91.73,81.22,88.36,52.55
Kosovo,XKX,Europe & Central Asia,Upper middle income,0.393,7350,4466,6210,3716,5468,2936,11278,6426,Numbeo,5839.0,64.58,75.51,86.24,67.12,53.44
Kuwait,KWT,Middle East & North Africa,High income,0.624,16975,8858,14957,7659,11985,5771,27440,13407,Numbeo,12696.0,91.63,104.67,107.68,95.29,61.65
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,0.302,9026,5038,8753,4898,6261,3189,13987,7222,PPP Model,6742.0,79.16,93.67,96.33,78.71,54.96
Lao PDR,LAO,East Asia & Pacific,Lower middle income,0.217,6455,3582,6445,3620,4269,2167,9939,5074,PPP Model,4672.0,80.21,95.88,97.0,78.04,53.97
Latvia,LVA,Europe & Central Asia,High income,0.537,17526,10339,15582,8963,11420,6364,26836,14738,Numbeo,13079.0,69.51,82.09,79.45,73.85,53.12
Lebanon,LBN,Middle East & North Africa,Lower middle income,0.0,11782,5469,10756,5050,8493,3903,18452,7638,Numbeo,8066.0,115.43,141.58,117.6,112.99,56.61
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,0.324,9689,5414,9338,5221,6788,3461,15034,7782,PPP Model,7285.0,78.96,93.19,96.13,78.85,55.17
Liberia,LBR,Sub-Saharan Africa,Low income,0.455,13696,7700,12809,7132,10081,5158,21395,11205,PPP Model,10643.0,77.87,90.94,95.44,79.6,56.21
Libya,LBY,Middle East & North Africa,Upper middle income,0.459,13823,7773,12918,7192,10188,5214,21598,11315,PPP Model,10752.0,77.83,90.88,95.4,79.62,56.25
Liechtenstein,LIE,Europe & Central Asia,High income,0.0,22128,12429,19753,10854,17500,8975,35020,18450,Income Avg,17975.0,78.04,89.81,94.99,81.99,58.26
Lithuania,LTU,Europe & Central Asia,High income,0.531,20222,11377,17743,9633,16001,7773,31466,16437,Numbeo,16219.0,77.74,91.43,105.85,84.19,55.6
